name,slug,value,date_of_information,ranking,region
"Turkmenistan","turkmenistan","2,445,000","2024",123,"Central Asia"
"Costa Rica","costa-rica","2,357,000","2024",124,"Central America and the Caribbean"
"Panama","panama","2,206,000","2024",125,"Central America and the Caribbean"
"Qatar","qatar","2,024,000","2024",126,"Middle East"
"Central African Republic","central-african-republic","2,000,000","2024",127,"Africa"
"Lebanon","lebanon","1,939,000","2023",128,"Middle East"
"Georgia","georgia","1,854,000","2024",129,"Central Asia"
"Uruguay","uruguay","1,768,000","2024",130,"South America"
"Croatia","croatia","1,718,000","2024",131,"Europe"
"Eritrea","eritrea","1,710,000","2024",132,"Africa"
"Jamaica","jamaica","1,570,000","2024",133,"Central America and the Caribbean"
"Lithuania","lithuania","1,530,000","2024",134,"Europe"
"Armenia","armenia","1,478,000","2024",135,"Central Asia"
"Mongolia","mongolia","1,449,000","2024",136,"East and Southeast Asia"
"Gaza Strip","gaza-strip","1,391,000","2022",137,"Middle East"
"West Bank","west-bank","1,391,000","2022",138,"Middle East"
"Moldova","moldova","1,378,000","2024",139,"Europe"
"Albania","albania","1,375,000","2024",140,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","1,356,000","2024",141,"Europe"
"Mauritania","mauritania","1,210,000","2024",142,"Africa"
"Botswana","botswana","1,173,000","2024",143,"Africa"
"Puerto Rico","puerto-rico","1,150,000","2024",144,"Central America and the Caribbean"
"Namibia","namibia","1,131,000","2024",145,"Africa"
"Slovenia","slovenia","1,055,000","2024",146,"Europe"
"Latvia","latvia","954,400","2024",147,"Europe"
"Bahrain","bahrain","928,800","2024",148,"Middle East"
"Lesotho","lesotho","884,200","2024",149,"Africa"
"Guinea-Bissau","guinea-bissau","845,300","2024",150,"Africa"
"Gabon","gabon","824,400","2024",151,"Africa"
"North Macedonia","north-macedonia","790,800","2024",152,"Europe"
"Gambia, The","gambia-the","783,100","2024",153,"Africa"
"Cyprus","cyprus","772,300","2024",154,"Europe"
"Estonia","estonia","747,800","2024",155,"Europe"
"Equatorial Guinea","equatorial-guinea","715,000","2024",156,"Africa"
"Trinidad and Tobago","trinidad-and-tobago","651,600","2024",157,"Central America and the Caribbean"
"Timor-Leste","timor-leste","615,900","2024",158,"East and Southeast Asia"
"Mauritius","mauritius","594,700","2024",159,"Africa"
"Kosovo","kosovo","500,300","2017",160,"Europe"
"Solomon Islands","solomon-islands","435,600","2024",161,"Australia and Oceania"
"Bhutan","bhutan","406,500","2024",162,"South Asia"
"Eswatini","eswatini","390,600","2024",163,"Africa"
"Fiji","fiji","387,800","2024",164,"Australia and Oceania"
"Macau","macau","373,800","2024",165,"East and Southeast Asia"
"Luxembourg","luxembourg","348,100","2024",166,"Europe"
"Malta","malta","309,600","2024",167,"Europe"
"Guyana","guyana","292,200","2024",168,"South America"
"Comoros","comoros","276,400","2024",169,"Africa"
"Maldives","maldives","270,300","2024",170,"South Asia"
"Djibouti","djibouti","265,200","2024",171,"Africa"
"Suriname","suriname","255,500","2024",172,"South America"
"Iceland","iceland","244,700","2024",173,"Europe"
"Montenegro","montenegro","241,500","2024",174,"Europe"
"Bahamas, The","bahamas-the","237,100","2024",175,"Central America and the Caribbean"
"Brunei","brunei","233,500","2024",176,"East and Southeast Asia"
"Cabo Verde","cabo-verde","224,500","2024",177,"Africa"
"Belize","belize","190,000","2024",178,"Central America and the Caribbean"
"Barbados","barbados","147,200","2024",179,"Central America and the Caribbean"
"New Caledonia","new-caledonia","130,800","2024",180,"Australia and Oceania"
"French Polynesia","french-polynesia","119,100","2024",181,"Australia and Oceania"
"Vanuatu","vanuatu","118,100","2024",182,"Australia and Oceania"
"Saint Lucia","saint-lucia","102,400","2024",183,"Central America and the Caribbean"
"Guernsey","guernsey","82,400","2024",184,"Europe"
"Jersey","jersey","82,400","2024",185,"Europe"
"Guam","guam","77,700","2024",186,"Australia and Oceania"
"Samoa","samoa","57,200","2024",187,"Australia and Oceania"
"Grenada","grenada","55,270","2017",188,"Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","52,100","2024",189,"Central America and the Caribbean"
"Seychelles","seychelles","51,000","2018",190,"Africa"
"Virgin Islands","virgin-islands","47,100","2024",191,"Central America and the Caribbean"
"Andorra","andorra","39,750","2016",192,"Europe"
"Tonga","tonga","34,800","2024",193,"Australia and Oceania"
"Sao Tome and Principe","sao-tome-and-principe","34,500","2024",194,"Africa"
"Bermuda","bermuda","33,480","2016",195,"North America"
"Faroe Islands","faroe-islands","27,540","2017",196,"Europe"
"Palau","palau","11,610","2016",197,"Australia and Oceania"
"Holy See (Vatican City)","holy-see-vatican-city","4,822","2016",198,"Europe"
"Tuvalu","tuvalu","3,615","",199,"Australia and Oceania"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","1,850","2016",200,"South America"
"Tokelau","tokelau","1,100","2019",201,"Australia and Oceania"
